num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
750,2014-05-23T12:45:22+0000,869,B00000782_21I4N2_20140523_124521,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_750.jpg,g1_a1_sml_750.jpg,G1_2.jpg,2,1,4014,2,1,-0.07,-1.061,-0.14,-0.004,-0.866,-0.32,61804,65535,46224,65535,43.3,2,-33.98744,151.23133,-33.98744 151.23133,0,344,0.99,6.92,29.3,0.2,12.4,1.66,1,1.31,1.531,1,1.375,100.18,-98.52,16.167,2,,-33.98742,151.2313233,-33.98742 151.231323333,344
764,2014-05-23T12:46:29+0000,936,B00000796_21I4N2_20140523_124628,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_764.jpg,g1_a1_sml_764.jpg,G1_2.jpg,2,1,4014,2,1,-0.023,-1.165,0.315,-0.219,-0.964,-0.303,40704,40133,28894,65535,43.3,2,-33.98761,151.23148,-33.98761 151.23148,0,269,0.23,1.85,30.8,1,10.73,1.6,2,1.25,1.438,1,1.5,93.454,-90.53,326.9,0,,-33.98761,151.2314567,-33.98761 151.231456667,269
781,2014-05-23T12:48:02+0000,1029,B00000813_21I4N2_20140523_124802,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_781.jpg,g1_a1_sml_781.jpg,G1_2.jpg,2,2,4014,2,1,-0.019,-1.103,-0.248,-0.301,-0.89,-0.152,49711,54333,38776,65535,34.4,2,-33.98799,151.23091,-33.98799 151.23091,0,253,1.23,26.96,31.9,1.2,15.8,1.54,1,1.25,1.563,1,1.219,97.405,-90.83,262.2,0,,-33.98803,151.2308333,-33.98803 151.230833333,253
795,2014-05-23T12:49:11+0000,1098,B00000827_21I4N2_20140523_124911,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_795.jpg,g1_a1_sml_795.jpg,G1_2.jpg,2,3,4014,2,1,0.009,-1.34,-0.118,-0.181,-0.897,0.013,65535,65535,65535,65535,34.4,2,-33.9883,151.23018,-33.98830 151.23018,0,76,1.05,9.48,31.6,0.3,12.01,1.58,1,1.31,1.563,1,1.25,99.832,-90.38,229.56,0,,-33.98825667,151.23027,-33.9882566667 151.23027,76
807,2014-05-23T12:50:49+0000,1196,B00000839_21I4N2_20140523_125048,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_807.jpg,g1_a1_sml_807.jpg,G1_2.jpg,2,1,4014,2,1,0.096,-1.215,0.095,-0.307,-0.875,-0.097,54585,62822,47892,65535,12.5,2,-33.98893,151.23028,-33.98893 151.23028,0,0,0,0,33.6,0.8,12.11,1.55,1,1.25,1.656,1,1.188,91.935,-88.24,325.88,2,,-33.98888333,151.2302467,-33.9888833333 151.230246667,0
820,2014-05-23T12:51:36+0000,1243,B00000852_21I4N2_20140523_125136,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_820.jpg,g1_a1_sml_820.jpg,G1_2.jpg,2,1,4014,2,1,-0.128,-0.912,-0.339,-0.016,-0.831,-0.503,42226,47033,30774,65535,41.7,2,-33.9892,151.23018,-33.98920 151.23018,0,0,0,0,33.7,1.7,18.33,1.7,1,1.25,1.625,1,1.438,104.92,-95.27,34.751,2,,-33.9892,151.23018,-33.9892 151.23018,0
837,2014-05-23T12:53:10+0000,1337,B00000869_21I4N2_20140523_125309,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_837.jpg,g1_a1_sml_837.jpg,G1_2.jpg,2,1,4014,2,1,-0.179,-0.789,0.035,-0.551,-0.79,-0.472,35304,40278,23223,65535,31.2,2,-33.98915,151.23023,-33.98915 151.23023,0,0,0,0,37.2,0.8,18.95,1.95,1,1.25,1.594,1,1.281,111.39,-98.94,307.42,2,,-33.98915,151.23023,-33.98915 151.23023,0
852,2014-05-23T12:54:34+0000,1421,B00000884_21I4N2_20140523_125433,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_852.jpg,g1_a1_sml_852.jpg,G1_2.jpg,2,3,4014,2,1,-0.011,-0.832,-0.217,-0.218,-0.885,-0.088,65535,65535,64220,65535,31.2,2,-33.98914,151.23114,-33.98914 151.23114,0,113,1.58,11.07,37.9,1,11.01,1.43,1,1.25,1.594,1,1.25,99.026,-95.61,255.93,0,,-33.98913667,151.2311433,-33.9891366667 151.231143333,113
865,2014-05-23T12:55:32+0000,1479,B00000897_21I4N2_20140523_125532,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_865.jpg,g1_a1_sml_865.jpg,G1_2.jpg,2,3,4014,2,1,-0.183,-0.995,-0.028,-0.363,-0.866,-0.487,47518,62068,47133,65535,35.3,2,-33.9893,151.23168,-33.98930 151.23168,0,140,0.92,10.11,39.7,1,15.23,1.71,1,1.25,1.719,1,1.188,96.018,-91.46,346.88,0,,-33.98931333,151.2316967,-33.9893133333 151.231696667,110
878,2014-05-23T12:56:44+0000,1551,B00000910_21I4N2_20140523_125643,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_878.jpg,g1_a1_sml_878.jpg,G1_2.jpg,2,1,4014,2,1,0.048,-1.188,-0.077,0.037,-0.912,-0.255,46732,59298,47737,65535,27.1,2,-33.98943,151.2321,-33.98943 151.23210,0,0,0,0,44.3,1.6,21.67,1.76,1,1.25,1.688,1,1.25,86.607,-93.77,294.48,2,,-33.98943,151.2321,-33.98943 151.2321,0
891,2014-05-23T12:57:35+0000,1602,B00000923_21I4N2_20140523_125735,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_891.jpg,g1_a1_sml_891.jpg,G1_2.jpg,2,1,4014,2,1,0.049,-1.069,-0.054,-0.424,-0.866,-0.43,29099,31705,19931,65535,27.1,2,-33.98917,151.23243,-33.98917 151.23243,0,78,0.38,5.64,44.4,0.4,16.86,1.93,1,1.25,1.625,1,1.594,95.338,-92.68,307.83,0,,-33.98912667,151.2324633,-33.9891266667 151.232463333,13
